Soil,Autoclaving,treatment,variety,experiment,block,replication,date,count,aphid_count
Pea,No,NatPea,B73,greenhouse,NA,1,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,2,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,3,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,4,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,5,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,6,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,7,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,8,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,9,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,10,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,1,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,2,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,3,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,4,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,5,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,6,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,7,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,8,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,9,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,10,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,1,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,2,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,3,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,4,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,5,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,6,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,7,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,8,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,9,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,10,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,1,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,2,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,3,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,4,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,5,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,6,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,7,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,8,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,9,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,10,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,1,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,2,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,3,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,4,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,5,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,6,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,7,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,8,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,9,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,10,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,1,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,2,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,3,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,4,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,5,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,6,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,7,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,8,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,9,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,10,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,1,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,2,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,3,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,4,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,5,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,6,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,7,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,8,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,9,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,10,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,1,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,2,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,3,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,4,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,5,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,6,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,7,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,8,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,9,6/18/24,D1,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,10,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,1,6/25/24,D7,4
Pea,No,NatPea,B73,greenhouse,NA,2,6/25/24,D7,0
Pea,No,NatPea,B73,greenhouse,NA,3,6/25/24,D7,0
Pea,No,NatPea,B73,greenhouse,NA,4,6/25/24,D7,2
Pea,No,NatPea,B73,greenhouse,NA,5,6/25/24,D7,6
Pea,No,NatPea,B73,greenhouse,NA,6,6/25/24,D7,1
Pea,No,NatPea,B73,greenhouse,NA,7,6/25/24,D7,1
Pea,No,NatPea,B73,greenhouse,NA,8,6/25/24,D7,0
Pea,No,NatPea,B73,greenhouse,NA,9,6/25/24,D7,1
Pea,No,NatPea,B73,greenhouse,NA,10,6/25/24,D7,0
Pea,Yes,AtPea,B73,greenhouse,NA,1,6/25/24,D7,0
Pea,Yes,AtPea,B73,greenhouse,NA,2,6/25/24,D7,3
Pea,Yes,AtPea,B73,greenhouse,NA,3,6/25/24,D7,2
Pea,Yes,AtPea,B73,greenhouse,NA,4,6/25/24,D7,3
Pea,Yes,AtPea,B73,greenhouse,NA,5,6/25/24,D7,2
Pea,Yes,AtPea,B73,greenhouse,NA,6,6/25/24,D7,2
Pea,Yes,AtPea,B73,greenhouse,NA,7,6/25/24,D7,1
Pea,Yes,AtPea,B73,greenhouse,NA,8,6/25/24,D7,2
Pea,Yes,AtPea,B73,greenhouse,NA,9,6/25/24,D7,0
Pea,Yes,AtPea,B73,greenhouse,NA,10,6/25/24,D7,2
Triticale,No,NatTrt,B73,greenhouse,NA,1,6/25/24,D7,0
Triticale,No,NatTrt,B73,greenhouse,NA,2,6/25/24,D7,0
Triticale,No,NatTrt,B73,greenhouse,NA,3,6/25/24,D7,1
Triticale,No,NatTrt,B73,greenhouse,NA,4,6/25/24,D7,6
Triticale,No,NatTrt,B73,greenhouse,NA,5,6/25/24,D7,0
Triticale,No,NatTrt,B73,greenhouse,NA,6,6/25/24,D7,3
Triticale,No,NatTrt,B73,greenhouse,NA,7,6/25/24,D7,0
Triticale,No,NatTrt,B73,greenhouse,NA,8,6/25/24,D7,0
Triticale,No,NatTrt,B73,greenhouse,NA,9,6/25/24,D7,0
Triticale,No,NatTrt,B73,greenhouse,NA,10,6/25/24,D7,5
Triticale,Yes,AtTrt,B73,greenhouse,NA,1,6/25/24,D7,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,2,6/25/24,D7,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,3,6/25/24,D7,4
Triticale,Yes,AtTrt,B73,greenhouse,NA,4,6/25/24,D7,1
Triticale,Yes,AtTrt,B73,greenhouse,NA,5,6/25/24,D7,1
Triticale,Yes,AtTrt,B73,greenhouse,NA,6,6/25/24,D7,6
Triticale,Yes,AtTrt,B73,greenhouse,NA,7,6/25/24,D7,1
Triticale,Yes,AtTrt,B73,greenhouse,NA,8,6/25/24,D7,1
Triticale,Yes,AtTrt,B73,greenhouse,NA,9,6/25/24,D7,1
Triticale,Yes,AtTrt,B73,greenhouse,NA,10,6/25/24,D7,0
Radish,No,NaRad,B73,greenhouse,NA,1,6/25/24,D7,1
Radish,No,NaRad,B73,greenhouse,NA,2,6/25/24,D7,1
Radish,No,NaRad,B73,greenhouse,NA,3,6/25/24,D7,0
Radish,No,NaRad,B73,greenhouse,NA,4,6/25/24,D7,0
Radish,No,NaRad,B73,greenhouse,NA,5,6/25/24,D7,1
Radish,No,NaRad,B73,greenhouse,NA,6,6/25/24,D7,0
Radish,No,NaRad,B73,greenhouse,NA,7,6/25/24,D7,0
Radish,No,NaRad,B73,greenhouse,NA,8,6/25/24,D7,3
Radish,No,NaRad,B73,greenhouse,NA,9,6/25/24,D7,4
Radish,No,NaRad,B73,greenhouse,NA,10,6/25/24,D7,0
Radish,Yes,AtRad,B73,greenhouse,NA,1,6/25/24,D7,1
Radish,Yes,AtRad,B73,greenhouse,NA,2,6/25/24,D7,1
Radish,Yes,AtRad,B73,greenhouse,NA,3,6/25/24,D7,2
Radish,Yes,AtRad,B73,greenhouse,NA,4,6/25/24,D7,7
Radish,Yes,AtRad,B73,greenhouse,NA,5,6/25/24,D7,4
Radish,Yes,AtRad,B73,greenhouse,NA,6,6/25/24,D7,0
Radish,Yes,AtRad,B73,greenhouse,NA,7,6/25/24,D7,1
Radish,Yes,AtRad,B73,greenhouse,NA,8,6/25/24,D7,4
Radish,Yes,AtRad,B73,greenhouse,NA,9,6/25/24,D7,6
Radish,Yes,AtRad,B73,greenhouse,NA,10,6/25/24,D7,0
Potting mix,No,NaPtm,B73,greenhouse,NA,1,6/25/24,D7,9
Potting mix,No,NaPtm,B73,greenhouse,NA,2,6/25/24,D7,4
Potting mix,No,NaPtm,B73,greenhouse,NA,3,6/25/24,D7,9
Potting mix,No,NaPtm,B73,greenhouse,NA,4,6/25/24,D7,3
Potting mix,No,NaPtm,B73,greenhouse,NA,5,6/25/24,D7,35
Potting mix,No,NaPtm,B73,greenhouse,NA,6,6/25/24,D7,28
Potting mix,No,NaPtm,B73,greenhouse,NA,7,6/25/24,D7,7
Potting mix,No,NaPtm,B73,greenhouse,NA,8,6/25/24,D7,14
Potting mix,No,NaPtm,B73,greenhouse,NA,9,6/25/24,D7,11
Potting mix,No,NaPtm,B73,greenhouse,NA,10,6/25/24,D7,2
Potting mix,Yes,AtPtm,B73,greenhouse,NA,1,6/25/24,D7,2
Potting mix,Yes,AtPtm,B73,greenhouse,NA,2,6/25/24,D7,6
Potting mix,Yes,AtPtm,B73,greenhouse,NA,3,6/25/24,D7,15
Potting mix,Yes,AtPtm,B73,greenhouse,NA,4,6/25/24,D7,10
Potting mix,Yes,AtPtm,B73,greenhouse,NA,5,6/25/24,D7,6
Potting mix,Yes,AtPtm,B73,greenhouse,NA,6,6/25/24,D7,9
Potting mix,Yes,AtPtm,B73,greenhouse,NA,7,6/25/24,D7,6
Potting mix,Yes,AtPtm,B73,greenhouse,NA,8,6/25/24,D7,6
Potting mix,Yes,AtPtm,B73,greenhouse,NA,9,6/25/24,D7,1
Potting mix,Yes,AtPtm,B73,greenhouse,NA,10,6/25/24,D7,0
Pea,No,NatPea,B73,greenhouse,NA,1,7/1/24,D14,3
Pea,No,NatPea,B73,greenhouse,NA,2,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,3,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,4,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,5,7/1/24,D14,3
Pea,No,NatPea,B73,greenhouse,NA,6,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,7,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,8,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,9,7/1/24,D14,0
Pea,No,NatPea,B73,greenhouse,NA,10,7/1/24,D14,0
Pea,Yes,AtPea,B73,greenhouse,NA,1,7/1/24,D14,0
Pea,Yes,AtPea,B73,greenhouse,NA,2,7/1/24,D14,5
Pea,Yes,AtPea,B73,greenhouse,NA,3,7/1/24,D14,2
Pea,Yes,AtPea,B73,greenhouse,NA,4,7/1/24,D14,3
Pea,Yes,AtPea,B73,greenhouse,NA,5,7/1/24,D14,3
Pea,Yes,AtPea,B73,greenhouse,NA,6,7/1/24,D14,3
Pea,Yes,AtPea,B73,greenhouse,NA,7,7/1/24,D14,1
Pea,Yes,AtPea,B73,greenhouse,NA,8,7/1/24,D14,1
Pea,Yes,AtPea,B73,greenhouse,NA,9,7/1/24,D14,0
Pea,Yes,AtPea,B73,greenhouse,NA,10,7/1/24,D14,1
Triticale,No,NatTrt,B73,greenhouse,NA,1,7/1/24,D14,0
Triticale,No,NatTrt,B73,greenhouse,NA,2,7/1/24,D14,0
Triticale,No,NatTrt,B73,greenhouse,NA,3,7/1/24,D14,2
Triticale,No,NatTrt,B73,greenhouse,NA,4,7/1/24,D14,9
Triticale,No,NatTrt,B73,greenhouse,NA,5,7/1/24,D14,0
Triticale,No,NatTrt,B73,greenhouse,NA,6,7/1/24,D14,0
Triticale,No,NatTrt,B73,greenhouse,NA,7,7/1/24,D14,1
Triticale,No,NatTrt,B73,greenhouse,NA,8,7/1/24,D14,0
Triticale,No,NatTrt,B73,greenhouse,NA,9,7/1/24,D14,0
Triticale,No,NatTrt,B73,greenhouse,NA,10,7/1/24,D14,3
Triticale,Yes,AtTrt,B73,greenhouse,NA,1,7/1/24,D14,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,2,7/1/24,D14,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,3,7/1/24,D14,3
Triticale,Yes,AtTrt,B73,greenhouse,NA,4,7/1/24,D14,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,5,7/1/24,D14,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,6,7/1/24,D14,3
Triticale,Yes,AtTrt,B73,greenhouse,NA,7,7/1/24,D14,1
Triticale,Yes,AtTrt,B73,greenhouse,NA,8,7/1/24,D14,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,9,7/1/24,D14,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,10,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,1,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,2,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,3,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,4,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,5,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,6,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,7,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,8,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,9,7/1/24,D14,0
Radish,No,NaRad,B73,greenhouse,NA,10,7/1/24,D14,0
Radish,Yes,AtRad,B73,greenhouse,NA,1,7/1/24,D14,1
Radish,Yes,AtRad,B73,greenhouse,NA,2,7/1/24,D14,0
Radish,Yes,AtRad,B73,greenhouse,NA,3,7/1/24,D14,1
Radish,Yes,AtRad,B73,greenhouse,NA,4,7/1/24,D14,0
Radish,Yes,AtRad,B73,greenhouse,NA,5,7/1/24,D14,1
Radish,Yes,AtRad,B73,greenhouse,NA,6,7/1/24,D14,0
Radish,Yes,AtRad,B73,greenhouse,NA,7,7/1/24,D14,0
Radish,Yes,AtRad,B73,greenhouse,NA,8,7/1/24,D14,0
Radish,Yes,AtRad,B73,greenhouse,NA,9,7/1/24,D14,1
Radish,Yes,AtRad,B73,greenhouse,NA,10,7/1/24,D14,0
Potting mix,No,NaPtm,B73,greenhouse,NA,1,7/1/24,D14,32
Potting mix,No,NaPtm,B73,greenhouse,NA,2,7/1/24,D14,3
Potting mix,No,NaPtm,B73,greenhouse,NA,3,7/1/24,D14,10
Potting mix,No,NaPtm,B73,greenhouse,NA,4,7/1/24,D14,3
Potting mix,No,NaPtm,B73,greenhouse,NA,5,7/1/24,D14,105
Potting mix,No,NaPtm,B73,greenhouse,NA,6,7/1/24,D14,92
Potting mix,No,NaPtm,B73,greenhouse,NA,7,7/1/24,D14,3
Potting mix,No,NaPtm,B73,greenhouse,NA,8,7/1/24,D14,35
Potting mix,No,NaPtm,B73,greenhouse,NA,9,7/1/24,D14,14
Potting mix,No,NaPtm,B73,greenhouse,NA,10,7/1/24,D14,2
Potting mix,Yes,AtPtm,B73,greenhouse,NA,1,7/1/24,D14,0
Potting mix,Yes,AtPtm,B73,greenhouse,NA,2,7/1/24,D14,3
Potting mix,Yes,AtPtm,B73,greenhouse,NA,3,7/1/24,D14,64
Potting mix,Yes,AtPtm,B73,greenhouse,NA,4,7/1/24,D14,31
Potting mix,Yes,AtPtm,B73,greenhouse,NA,5,7/1/24,D14,23
Potting mix,Yes,AtPtm,B73,greenhouse,NA,6,7/1/24,D14,6
Potting mix,Yes,AtPtm,B73,greenhouse,NA,7,7/1/24,D14,11
Potting mix,Yes,AtPtm,B73,greenhouse,NA,8,7/1/24,D14,12
Potting mix,Yes,AtPtm,B73,greenhouse,NA,9,7/1/24,D14,1
Potting mix,Yes,AtPtm,B73,greenhouse,NA,10,7/1/24,D14,1
Pea,No,NatPea,B73,greenhouse,NA,1,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,2,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,3,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,4,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,5,7/8/24,D21,4
Pea,No,NatPea,B73,greenhouse,NA,6,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,7,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,8,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,9,7/8/24,D21,0
Pea,No,NatPea,B73,greenhouse,NA,10,7/8/24,D21,0
Pea,Yes,AtPea,B73,greenhouse,NA,1,7/8/24,D21,0
Pea,Yes,AtPea,B73,greenhouse,NA,2,7/8/24,D21,0
Pea,Yes,AtPea,B73,greenhouse,NA,3,7/8/24,D21,0
Pea,Yes,AtPea,B73,greenhouse,NA,4,7/8/24,D21,1
Pea,Yes,AtPea,B73,greenhouse,NA,5,7/8/24,D21,6
Pea,Yes,AtPea,B73,greenhouse,NA,6,7/8/24,D21,8
Pea,Yes,AtPea,B73,greenhouse,NA,7,7/8/24,D21,2
Pea,Yes,AtPea,B73,greenhouse,NA,8,7/8/24,D21,0
Pea,Yes,AtPea,B73,greenhouse,NA,9,7/8/24,D21,0
Pea,Yes,AtPea,B73,greenhouse,NA,10,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,1,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,2,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,3,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,4,7/8/24,D21,34
Triticale,No,NatTrt,B73,greenhouse,NA,5,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,6,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,7,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,8,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,9,7/8/24,D21,0
Triticale,No,NatTrt,B73,greenhouse,NA,10,7/8/24,D21,3
Triticale,Yes,AtTrt,B73,greenhouse,NA,1,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,2,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,3,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,4,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,5,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,6,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,7,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,8,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,9,7/8/24,D21,0
Triticale,Yes,AtTrt,B73,greenhouse,NA,10,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,1,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,2,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,3,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,4,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,5,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,6,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,7,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,8,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,9,7/8/24,D21,0
Radish,No,NaRad,B73,greenhouse,NA,10,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,1,7/8/24,D21,1
Radish,Yes,AtRad,B73,greenhouse,NA,2,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,3,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,4,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,5,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,6,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,7,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,8,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,9,7/8/24,D21,0
Radish,Yes,AtRad,B73,greenhouse,NA,10,7/8/24,D21,0
Potting mix,No,NaPtm,B73,greenhouse,NA,1,7/8/24,D21,111
Potting mix,No,NaPtm,B73,greenhouse,NA,2,7/8/24,D21,0
Potting mix,No,NaPtm,B73,greenhouse,NA,3,7/8/24,D21,30
Potting mix,No,NaPtm,B73,greenhouse,NA,4,7/8/24,D21,10
Potting mix,No,NaPtm,B73,greenhouse,NA,5,7/8/24,D21,140
Potting mix,No,NaPtm,B73,greenhouse,NA,6,7/8/24,D21,241
Potting mix,No,NaPtm,B73,greenhouse,NA,7,7/8/24,D21,3
Potting mix,No,NaPtm,B73,greenhouse,NA,8,7/8/24,D21,65
Potting mix,No,NaPtm,B73,greenhouse,NA,9,7/8/24,D21,188
Potting mix,No,NaPtm,B73,greenhouse,NA,10,7/8/24,D21,0
Potting mix,Yes,AtPtm,B73,greenhouse,NA,1,7/8/24,D21,0
Potting mix,Yes,AtPtm,B73,greenhouse,NA,2,7/8/24,D21,0
Potting mix,Yes,AtPtm,B73,greenhouse,NA,3,7/8/24,D21,229
Potting mix,Yes,AtPtm,B73,greenhouse,NA,4,7/8/24,D21,51
Potting mix,Yes,AtPtm,B73,greenhouse,NA,5,7/8/24,D21,67
Potting mix,Yes,AtPtm,B73,greenhouse,NA,6,7/8/24,D21,3
Potting mix,Yes,AtPtm,B73,greenhouse,NA,7,7/8/24,D21,13
Potting mix,Yes,AtPtm,B73,greenhouse,NA,8,7/8/24,D21,31
Potting mix,Yes,AtPtm,B73,greenhouse,NA,9,7/8/24,D21,0
Potting mix,Yes,AtPtm,B73,greenhouse,NA,10,7/8/24,D21,0
Pea,No,NatPea,M4050,greenhouse,NA,1,4/19/24,D1,10
Pea,No,NatPea,M4050,greenhouse,NA,2,4/19/24,D1,10
Pea,No,NatPea,M4050,greenhouse,NA,3,4/19/24,D1,10
Pea,No,NatPea,M4050,greenhouse,NA,4,4/19/24,D1,10
Pea,No,NatPea,M4050,greenhouse,NA,5,4/19/24,D1,10
